City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
134,Kapaa,US,22.0752,-159.319,70.12,94,100,6.91,moderate rain
135,Puri,IN,19.8,85.85,75.72,65,79,7.0,broken clouds
136,Bara,NG,10.3744,10.7288,98.64,8,6,10.33,clear sky
137,Port-Cartier,CA,50.0334,-66.8654,5.76,77,100,3.71,overcast clouds
138,Bom Jesus,BR,-9.0744,-44.3586,97.54,28,2,4.38,clear sky
139,Plettenberg Bay,ZA,-34.0527,23.3716,72.55,77,33,8.32,scattered clouds
140,Tasiilaq,GL,65.6145,-37.6368,10.56,86,100,6.15,overcast clouds
141,Labuan,MY,5.2767,115.2417,77.36,100,20,2.3,light rain
142,Tebingtinggi,ID,3.3285,99.1625,74.14,96,100,3.04,overcast clouds
143,Kollegal,IN,12.15,77.1167,72.52,54,92,5.19,overcast clouds
144,Yamada,JP,39.4667,141.95,29.64,72,100,6.8,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,68.83,66,3,12.59,clear sky
146,San Vicente,AR,-26.6167,-54.1333,74.1,89,72,4.45,broken clouds
147,Lagoa,PT,39.05,-27.9833,57.18,63,50,14.45,scattered clouds
148,Asau,RO,46.4333,26.4,34.72,96,96,3.44,overcast clouds
149,Turinsk,RU,58.0458,63.696,20.77,90,61,8.23,broken clouds
150,Zlitan,LY,32.4674,14.5687,58.87,58,67,24.9,broken clouds
151,Santa Cruz Cabralia,BR,-16.2781,-39.0247,80.83,74,75,12.66,broken clouds
152,Bluff,NZ,-46.6,168.3333,59.72,97,100,5.57,overcast clouds
153,Belle Fourche,US,44.6714,-103.8522,25.34,45,0,10.54,clear sky
154,Taywarah,AF,33.35,64.4167,17.51,91,15,6.53,few clouds
155,Kismayo,SO,-0.3582,42.5454,77.34,82,0,15.88,clear sky
156,Mount Hagen,PG,-5.8581,144.2274,59.83,98,100,1.74,overcast clouds
157,Hirara,JP,24.8,125.2833,68.13,63,0,14.58,clear sky
158,Yulara,AU,-25.2406,130.9889,80.74,28,96,14.7,overcast clouds
159,Husavik,IS,66.0449,-17.3389,28.2,97,100,9.24,snow
160,Chumikan,RU,54.7183,135.315,-12.28,87,17,21.18,few clouds
161,Japura,ID,-0.3167,102.35,73.47,98,100,2.24,overcast clouds
162,La Ronge,CA,55.1001,-105.2842,-21.75,63,40,1.14,scattered clouds
163,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,40,16.11,scattered clouds
164,Bukachacha,RU,52.9833,116.9167,-12.5,91,8,4.43,clear sky
165,Kamaishi,JP,39.2667,141.8833,30.42,70,100,6.62,overcast clouds
166,Sistranda,NO,63.7256,8.834,31.96,69,100,10.09,overcast clouds
167,Kahului,US,20.8947,-156.47,74.84,87,0,10.36,light rain
168,Meulaboh,ID,4.1363,96.1285,76.14,88,100,1.23,light rain
169,Changji,CN,44.0167,87.3167,9.39,85,40,2.24,mist
170,Ocampo,MX,21.65,-101.5,59.95,46,0,3.31,clear sky
171,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,71,40,10.36,scattered clouds
172,Dingle,PH,10.9995,122.6711,74.44,95,70,8.9,broken clouds
173,Antropovo,RU,58.3988,43.0066,27.52,91,100,12.48,overcast clouds
174,Evensk,RU,61.95,159.2333,17.76,95,100,7.07,light snow
175,Camacha,PT,33.0833,-16.3333,56.62,58,40,14.97,scattered clouds
176,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,40,4.61,light rain
177,Bilibino,RU,68.0546,166.4372,3.33,94,27,8.55,scattered clouds
178,Touros,BR,-5.1989,-35.4608,86.22,62,100,16.37,overcast clouds
179,Skogn,NO,63.7,11.2,27.79,88,100,3.62,overcast clouds
180,Onega,RU,63.9061,38.1404,29.14,92,100,13.87,light snow
181,Guarapari,BR,-20.6667,-40.4975,84.88,70,43,16.26,scattered clouds
182,Manokwari,ID,-0.8667,134.0833,77.99,81,93,4.23,overcast clouds
183,Port Pirie,AU,-33.1833,138.0167,65.35,71,24,8.93,few clouds
184,Morden,CA,49.1919,-98.1014,-7.74,71,76,4.61,broken clouds
185,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,20,2.3,few clouds
186,Suntar,RU,62.1444,117.6319,-22.54,100,98,2.19,overcast clouds
187,Victoria,HK,22.2855,114.1577,66.38,73,98,11.01,overcast clouds
188,Zhanakorgan,KZ,43.9098,67.2495,34.11,86,46,6.8,scattered clouds
189,Moratuwa,LK,6.773,79.8816,76.86,84,100,12.53,light rain
190,Tongzi,CN,28.7829,105.0877,54.18,53,0,1.81,clear sky
191,Ostrovnoy,RU,68.0531,39.5131,29.08,95,100,7.92,overcast clouds
192,Saldanha,ZA,-33.0117,17.9442,78.85,78,38,13.53,scattered clouds
193,Port Hawkesbury,CA,45.6169,-61.3485,29.79,94,100,4.61,snow
194,Barabash,RU,43.2,131.4833,15.06,94,99,2.98,light snow
195,Katsuura,JP,35.1333,140.3,41.31,64,98,5.97,overcast clouds
196,North Canton,US,40.8759,-81.4023,21.65,67,40,4.61,scattered clouds
197,Yumen,CN,40.2833,97.2,21.63,35,96,4.18,overcast clouds
198,Ponta Do Sol,PT,32.6667,-17.1,62.71,70,55,7.07,light rain
199,Havelock,US,34.8791,-76.9013,58.95,79,100,0.0,overcast clouds
200,Tooele,US,40.5308,-112.2983,12.24,52,0,8.05,clear sky
